A,T,r_rl
0.17453292519943295,3.0,-210.44007416174261
0.17453292519943295,3.75,-154.9663974589018
0.17453292519943295,4.5,-27.49970075525804
0.17453292519943295,5.25,-93.7709026284786
0.17453292519943295,6.0,-26.809278286843053
0.29088820866572157,3.0,-163.138025607442
0.29088820866572157,3.75,-24.997800448280426
0.29088820866572157,4.5,-69.31408502987883
0.29088820866572157,5.25,-36.72235383172642
0.29088820866572157,6.0,-89.77232434544497
0.40724349213201017,3.0,-322.91722853195824
0.40724349213201017,3.75,-12.271839565395233
0.40724349213201017,4.5,-68.97010593428955
0.40724349213201017,5.25,-77.80188050043942
0.40724349213201017,6.0,-132.94439532995722
0.5235987755982988,3.0,-1502.5817849114683
0.5235987755982988,3.75,-11.895306911224155
0.5235987755982988,4.5,-46.40467473368981
0.5235987755982988,5.25,-115.24323411981403
0.5235987755982988,6.0,-121.20282406559099
0.6399540590645875,3.0,-1617.1173842076332
0.6399540590645875,3.75,-19.484496298786837
0.6399540590645875,4.5,-29.717335844737125
0.6399540590645875,5.25,-97.59792994920326
0.6399540590645875,6.0,-5242.46853443023
0.7563093425308761,3.0,-2262.482304291973
0.7563093425308761,3.75,-22.203904205474895
0.7563093425308761,4.5,-16.15179428273299
0.7563093425308761,5.25,-107.37195938957663
0.7563093425308761,6.0,-123.64887343831691
0.8726646259971647,3.0,
0.8726646259971647,3.75,-49.25807724642929
0.8726646259971647,4.5,-13.967688223928405
0.8726646259971647,5.25,-81.17358908513408
0.8726646259971647,6.0,-154.26441147741835
0.9890199094634533,3.0,-894703.5170861273
0.9890199094634533,3.75,-41.30129703359591
0.9890199094634533,4.5,-18.422218498776132
0.9890199094634533,5.25,-4215.572848949362
0.9890199094634533,6.0,-1524.5911155205988
1.105375192929742,3.0,-3902.510704409552
1.105375192929742,3.75,-45.20644202797772
1.105375192929742,4.5,-15.213547213490676
1.105375192929742,5.25,
1.105375192929742,6.0,-1109.6265597170327
1.2217304763960306,3.0,-8093.4864998321045
1.2217304763960306,3.75,-52.401725092893734
1.2217304763960306,4.5,-22.922203784696478
1.2217304763960306,5.25,-3920.1776573197308
1.2217304763960306,6.0,-409.1491926079579
